timestamp,alert_count
2026-05-05 12:34:47.131880,16
2026-05-05 13:34:47.131880,13
2026-05-05 14:34:47.131880,72
2026-05-05 15:34:47.131880,61
2026-05-05 16:34:47.131880,57
2026-05-05 17:34:47.131880,17
2026-05-05 18:34:47.131880,5
2026-05-05 19:34:47.131880,5
2026-05-05 20:34:47.131880,6
2026-05-05 21:34:47.131880,2
2026-05-05 22:34:47.131880,8
2026-05-05 23:34:47.131880,5
2026-05-06 00:34:47.131880,8
2026-05-06 01:34:47.131880,8
2026-05-06 02:34:47.131880,5
2026-05-06 03:34:47.131880,2
2026-05-06 04:34:47.131880,4
2026-05-06 05:34:47.131880,2
2026-05-06 06:34:47.131880,5
2026-05-06 07:34:47.131880,7
2026-05-06 08:34:47.131880,2
2026-05-06 09:34:47.131880,11
2026-05-06 10:34:47.131880,16
2026-05-06 11:34:47.131880,15
2026-05-06 12:34:47.131880,11
2026-05-06 13:34:47.131880,13
2026-05-06 14:34:47.131880,11
2026-05-06 15:34:47.131880,14
2026-05-06 16:34:47.131880,9
2026-05-06 17:34:47.131880,18
2026-05-06 18:34:47.131880,7
2026-05-06 19:34:47.131880,2
2026-05-06 20:34:47.131880,6
2026-05-06 21:34:47.131880,3
2026-05-06 22:34:47.131880,3
2026-05-06 23:34:47.131880,5
2026-05-07 00:34:47.131880,2
2026-05-07 01:34:47.131880,6
2026-05-07 02:34:47.131880,8
2026-05-07 03:34:47.131880,2
2026-05-07 04:34:47.131880,8
2026-05-07 05:34:47.131880,2
2026-05-07 06:34:47.131880,4
2026-05-07 07:34:47.131880,6
2026-05-07 08:34:47.131880,3
2026-05-07 09:34:47.131880,13
2026-05-07 10:34:47.131880,8
2026-05-07 11:34:47.131880,18
2026-05-07 12:34:47.131880,12
2026-05-07 13:34:47.131880,11
2026-05-07 14:34:47.131880,17
2026-05-07 15:34:47.131880,11
2026-05-07 16:34:47.131880,18
2026-05-07 17:34:47.131880,13
2026-05-07 18:34:47.131880,3
2026-05-07 19:34:47.131880,4
2026-05-07 20:34:47.131880,8
2026-05-07 21:34:47.131880,6
2026-05-07 22:34:47.131880,7
2026-05-07 23:34:47.131880,8
2026-05-08 00:34:47.131880,4
2026-05-08 01:34:47.131880,6
2026-05-08 02:34:47.131880,4
2026-05-08 03:34:47.131880,5
2026-05-08 04:34:47.131880,6
2026-05-08 05:34:47.131880,6
2026-05-08 06:34:47.131880,5
2026-05-08 07:34:47.131880,5
2026-05-08 08:34:47.131880,4
2026-05-08 09:34:47.131880,16
2026-05-08 10:34:47.131880,12
2026-05-08 11:34:47.131880,14
2026-05-08 12:34:47.131880,11
2026-05-08 13:34:47.131880,14
2026-05-08 14:34:47.131880,11
2026-05-08 15:34:47.131880,16
2026-05-08 16:34:47.131880,10
2026-05-08 17:34:47.131880,8
2026-05-08 18:34:47.131880,7
2026-05-08 19:34:47.131880,4
2026-05-08 20:34:47.131880,83
2026-05-08 21:34:47.131880,3
2026-05-08 22:34:47.131880,8
2026-05-08 23:34:47.131880,2
2026-05-09 00:34:47.131880,7
2026-05-09 01:34:47.131880,5
2026-05-09 02:34:47.131880,7
2026-05-09 03:34:47.131880,5
2026-05-09 04:34:47.131880,4
2026-05-09 05:34:47.131880,7
2026-05-09 06:34:47.131880,106
2026-05-09 07:34:47.131880,4
2026-05-09 08:34:47.131880,2
2026-05-09 09:34:47.131880,14
2026-05-09 10:34:47.131880,12
2026-05-09 11:34:47.131880,12
2026-05-09 12:34:47.131880,15
2026-05-09 13:34:47.131880,16
2026-05-09 14:34:47.131880,14
2026-05-09 15:34:47.131880,12
2026-05-09 16:34:47.131880,14
2026-05-09 17:34:47.131880,10
2026-05-09 18:34:47.131880,84
2026-05-09 19:34:47.131880,2
2026-05-09 20:34:47.131880,5
2026-05-09 21:34:47.131880,4
2026-05-09 22:34:47.131880,2
2026-05-09 23:34:47.131880,4
2026-05-10 00:34:47.131880,7
2026-05-10 01:34:47.131880,5
2026-05-10 02:34:47.131880,5
2026-05-10 03:34:47.131880,5
2026-05-10 04:34:47.131880,7
2026-05-10 05:34:47.131880,2
2026-05-10 06:34:47.131880,7
2026-05-10 07:34:47.131880,7
2026-05-10 08:34:47.131880,6
2026-05-10 09:34:47.131880,10
2026-05-10 10:34:47.131880,14
2026-05-10 11:34:47.131880,15
2026-05-10 12:34:47.131880,10
2026-05-10 13:34:47.131880,18
2026-05-10 14:34:47.131880,17
2026-05-10 15:34:47.131880,14
2026-05-10 16:34:47.131880,10
2026-05-10 17:34:47.131880,10
2026-05-10 18:34:47.131880,2
2026-05-10 19:34:47.131880,6
2026-05-10 20:34:47.131880,5
2026-05-10 21:34:47.131880,2
2026-05-10 22:34:47.131880,5
2026-05-10 23:34:47.131880,6
2026-05-11 00:34:47.131880,7
2026-05-11 01:34:47.131880,2
2026-05-11 02:34:47.131880,6
2026-05-11 03:34:47.131880,6
2026-05-11 04:34:47.131880,5
2026-05-11 05:34:47.131880,8
2026-05-11 06:34:47.131880,8
2026-05-11 07:34:47.131880,4
2026-05-11 08:34:47.131880,2
2026-05-11 09:34:47.131880,13
2026-05-11 10:34:47.131880,13
2026-05-11 11:34:47.131880,18
2026-05-11 12:34:47.131880,10
2026-05-11 13:34:47.131880,7
2026-05-11 14:34:47.131880,18
2026-05-11 15:34:47.131880,14
2026-05-11 16:34:47.131880,11
2026-05-11 17:34:47.131880,13
2026-05-11 18:34:47.131880,5
